username,content,publish_time,source,repost_count,comment_count,like_count,page,item_index,mid,scraped_at
咪咕体育,#韩乔生看C罗魔笛相拥落泪# 2026美加墨世界杯，葡萄牙2-1战胜克罗地亚晋级。@大嘴韩乔生 ：看到赛后C罗和魔笛拥抱真的热泪盈眶！每个比赛日19:00，《绿茵狂想》给你最硬核的赛事解读，让你真正看懂世界杯。#世界杯#足篮乒顶级赛事齐聚咪咕！男篮世预赛中国vs日本 咪咕视频19：30 ​ 展开c,2分钟前,微博视频号,0,0,0,1,18,5316673496155255,2026-07-03 19:15:29
JA符龙飞工作室,ja符龙飞超话 ⚽️#符龙飞如约而至# “不到哨响，绝不低头！”便是@JA符龙飞 感受到最迷人的足球魅力！7月3日、7月4日晚22:00，CCTV-5《如约而至》广州站，一起为世界杯加油！ ​,4分钟前 转赞人数超过20,ja符龙飞超话,3,14,27,1,19,5316659133812903,2026-07-03 19:15:29
南方都市报,#德国足协回应主教练辞职#【纳格尔斯曼辞职，克洛普愿接手德国队，多支球队主帅已失业】#世界杯8支球队主帅已失业#把德国队带到连点球大战都能输、却还拒不辞职的纳格尔斯曼终于低头。北京时间7月3日傍晚，德国足协官方宣布，纳格尔斯曼主动请辞。德国足协在官方公告中称：“股东代表和监事会今日根 ​ 展开c,3分钟前,微博网页版,0,0,0,1,20,5316673124960538,2026-07-03 19:15:29
圈内漂流瓶,#C罗酒店楼下一片siu声#葡萄牙对阵克罗地亚淘汰赛，C罗点球破门获得全场最佳，创下多项纪录，回到酒店怒吼庆祝，一声Vamos让楼下守候的球迷瞬间沸腾！！！#世界杯#｜#围观世界杯#｜葡萄牙球迷俱乐部超话 L圈内漂流瓶的微博视频 ​,4分钟前 转赞人数超过60,葡萄牙球迷俱乐部超话,24,7,58,1,21,5316660811795339,2026-07-03 19:15:29
辽宁日报,【中国男篮主教练郭士强：杨瀚森跟球队磨合较好，赵继伟身体状况良好】#2027国际篮联篮球世界杯预选赛中国VS日本# O网页链接 L辽宁日报的微博视频 ​,3分钟前,微博视频号,0,0,0,2,1,5316673109237408,2026-07-03 19:15:47
王芃亦_妖十一,巴西 可以吗 #2026美加墨世界杯# L王芃亦_妖十一的微博视频 ​,5分钟前,iPhone客户端,1,1,7,2,2,5316672740922144,2026-07-03 19:15:47
央视频,【美加墨世界杯 葡萄牙迎战克罗地亚】C罗斩获淘汰赛首球，葡萄牙晋级16强！赛场拼搏离不开充足营养，和#蒙牛FIFA世界杯全球官方赞助商#一起，见证每一份全力以赴的要强风采。#蒙牛营养世界每个人的要强# L央视频的微博视频 ​,5分钟前,微博视频号,0,0,0,2,3,5316672732531931,2026-07-03 19:15:47
请记得按录制键,谁懂啊，25年以来，除25年初新加坡大满贯和仁川冠军赛，男队wtt1000分及以上赛事、世锦赛、世界杯、洲际赛所有冠军均由王楚钦所得我要是王皓我就绑着王楚钦只打男单 ​,6分钟前 转赞人数超过50,,0,7,65,2,4,5316670857676294,2026-07-03 19:15:47
老特拉福德的糖猫儿,简单分析下今晚美加墨#世界杯# 的这场比赛（仅供娱乐）：#阿根廷vs佛得角# ：这场比赛可以说万众瞩目了，阿根廷是卫冕冠军，佛得角是今年世界杯最大黑马，佛得角靠三场平局成功晋级淘汰赛，关于佛得角的奇迹已经开始。梅西的脚vs佛的脚！阿根廷作为卫冕冠军，实力与经验远超首次参赛的佛得角，而佛 ​ 展开c,5分钟前,iPhone 17,0,0,1,2,5,5316672701333619,2026-07-03 19:15:47
趣丸,史上唯一包揽五大联赛冠军的主帅，现执教巴西冲击大力神杯，这般传奇履历谁能不折服？#微博二创视频创作季##世界杯时尚赛场# L趣丸的微博视频 ​,6分钟前 转赞人数超过20,微博视频号,0,0,20,2,6,5316527936242487,2026-07-03 19:15:47
体坛人物FM,坎特人物纪录片：最不像有钱人的亿万富翁，没有黑点的完美巨星！世界杯超话#坎特##纪录片##体坛人物# L体坛人物FM的微博视频 ​,6分钟前,世界杯超话,0,1,0,2,7,5316672504206444,2026-07-03 19:15:47
南昌广播电视台,【一图速览 | C罗获淘汰赛首球 #世界杯射手榜更新#】↓↓ ​​​#克罗地亚出局后崩溃# ​​​,6分钟前,iPhone 17 Pro Max,0,0,0,2,8,5316672413238088,2026-07-03 19:15:47
困困兎饼,本届世界杯明星选手的kpop直拍来了你觉得c罗 梅西 内马尔 哈兰德 姆巴佩谁更帅呢？ L困困兎饼的微博视频 ​,6分钟前,微博视频号,0,0,27,2,9,5316672399349120,2026-07-03 19:15:47
海浪星爱运动,7月7日凌晨3点，世界杯1/8决赛将迎来伊比利亚德比——葡萄牙对阵西班牙。这场对决对C罗而言意义非凡：16年前，2010年世界杯1/8决赛，西班牙凭借比利亚的进球1-0淘汰葡萄牙；2018年小组赛，C罗上演帽子戏法逼平西班牙；2025年欧国联决赛，葡萄牙点球5-3胜出。历史交锋41次，西班牙18胜16平7负占据上风， ​ 展开c,6分钟前,微博长文创作平台,0,0,0,3,1,5316672396465215,2026-07-03 19:15:56
包容万物恒河水,🔻太阳报：埃及队一名工作人员与美国警察在达拉斯球队下榻酒店发生肢体冲突。🔻法老军团于周四抵达得克萨斯州，备战即将在 AT&T 体育场与澳大利亚进行的世界杯 32 强淘汰赛。🔻大批球迷——其中许多是年幼的孩子——聚集在他们的临时基地，索要签名并合影留念。🔻粉丝拍摄的视频显示，特雷 ​ 展开c,8分钟前,微博视频号,0,4,16,3,2,5316672115181736,2026-07-03 19:15:56
itumowarai,莫德里奇超话 因c罗球迷冲场打乱比赛节奏，造成补时时间较长，这段没有被转播收录到画面中。 ​,8分钟前,莫德里奇超话,0,0,4,3,3,5316672023693745,2026-07-03 19:15:56
週子軒,格子军团一众以 “奇” 为名的老兵们拼至筋疲力竭，终究没能续写奇迹。当终场哨响，属于克罗地亚“黄金一代”的世界杯征程就此落幕。请永远记住莫德里奇，那位驰骋赛场、以温柔与坚韧征服世界的传奇中场，他留给足坛的，早已超越体育竞技的范畴。从战火纷飞的故土走向世界之巅，他以二十载坚守、永不 ​ 展开c,8分钟前,微博网页版,0,0,0,3,4,5316671985944909,2026-07-03 19:15:56
